name,_pac,_sho,_pas,_dri,_def,_phy,_ovr,skills,wf,positions,playstyle_plus,playstyles,att_wr,def_wr
Ashley Fletcher,71,65,44,65,28,69,67,3,2,"ST,CF",None,FINESSE SHOT,Medium,Low
Agustín Fontana,76,64,57,69,32,68,67,2,2,"ST,CF",None,-,Medium,Low
Alessandro Fontanarosa,73,58,61,64,67,62,67,2,3,"CB,LB",None,SLIDE TACKLE,Medium,High
Tyrese Fornah,64,59,63,69,63,73,67,3,3,"CM,CDM",None,"TECHNICAL,FLAIR",Medium,Medium
Chris Forrester,66,62,65,69,60,71,67,3,4,"CM,CAM",None,"INCISIVE PASS,TECHNICAL,PINGED PASS,FLAIR",Medium,Medium
Amankwah Forson,86,53,62,73,54,50,67,3,3,"RM,RW,LB,CM",None,"WHIPPED PASS,RAPID",High,Medium
Iván Franco,80,65,59,71,36,61,67,4,3,"RM,RW,LM",None,TECHNICAL,High,Medium
Franquesa,75,52,59,66,61,64,67,2,2,"LB,LM,LWB",None,-,Medium,Medium
Gonzalo Freitas,55,53,59,56,66,79,67,2,3,"CB,CDM",None,SLIDE TACKLE,Medium,Medium
Martin Frese,78,61,62,69,61,64,67,3,3,"LB,LWB",None,-,High,Medium
Per Frick,74,65,58,60,36,83,67,2,2,"ST,CF",None,-,High,Medium
Mads Frøkjær-Jensen,70,56,65,69,50,69,67,3,2,"LW,CAM",None,"TECHNICAL,FLAIR",High,Low
Aldair Fuentes,56,45,54,55,65,81,67,3,3,"CB,CDM,CM",None,"BRUISER,BLOCK",High,Medium
Michael Fuentes Vadulli,78,60,58,68,30,57,67,4,3,"LM,LW",None,-,Medium,Medium
Aidi Fulangxisi,71,36,57,60,63,77,67,2,3,"CB,LB,LWB",None,INTERCEPT,Low,Medium
Matías Galarza,68,54,67,71,61,62,67,2,3,"CDM,CM",None,LONG BALL PASS,Medium,Medium
Nahuel Gallardo,68,41,63,66,63,68,67,2,3,"LB,LWB",None,-,High,High
Esli García,66,61,64,72,35,41,67,4,4,"LM,LW",None,"TRICKSTER,TECHNICAL,FLAIR,FINESSE SHOT",High,Medium
Bryan García,78,56,65,70,50,54,67,3,2,"RM,CAM",None,-,Medium,Medium
Pablo García,72,61,62,75,27,48,67,3,3,"RM,RW,LM,CAM",None,"TRIVELA,TECHNICAL",Medium,Medium
Espen Bjørnsen Garnås,37,33,48,47,65,79,67,2,2,CB,None,"AERIAL,BLOCK",Medium,Medium
Luis Garro,72,57,58,63,65,62,67,2,3,"RM,RB,RWB",None,-,Medium,Medium
Ben Garuccio,77,52,62,66,61,67,67,2,3,"LB,LWB",None,RAPID,High,Medium
Pep Gayà,47,32,50,51,67,71,67,2,3,CB,None,-,Medium,High
Garland Gbellé,69,53,63,68,62,72,67,2,3,"CM,CAM",None,"LONG BALL PASS,RELENTLESS",High,High
Yann Gboho,75,61,63,74,35,56,67,3,2,"CF,CAM,ST",None,"INCISIVE PASS,TECHNICAL,FLAIR",Medium,Medium
Christian Gebauer,79,62,58,65,52,67,67,3,3,"RM,RW,RWB",None,RAPID,Medium,Medium
Andreas Geipl,62,53,59,61,68,72,67,2,3,"CDM,CM",None,"LONG BALL PASS,SLIDE TACKLE",Medium,High
Francisco Gerometta,81,49,54,64,60,70,67,3,3,"RB,RWB",None,LONG THROW,Medium,Medium
Krystian Getinger,75,61,62,62,61,72,67,2,4,"LB,LM,LWB",None,RELENTLESS,High,Medium
Virgil Ghiță,54,44,48,50,67,74,67,2,2,CB,None,"INTERCEPT,AERIAL,ANTICIPATE",Medium,High
Liam Gibbs,67,55,64,68,63,59,67,2,3,"CM,CDM",None,-,Medium,Medium
Armin Gigović,69,55,65,69,57,69,67,3,4,"CM,CDM",None,"PRESS PROVEN,FLAIR",Medium,Medium
Brayan Gil,67,67,45,63,19,61,67,2,3,"ST,CF",None,-,Medium,Medium
Yenifer Giménez,52,45,62,66,68,72,67,2,2,"LB,CDM,LWB",None,-,Medium,Medium
Kosmas Gkezos,50,46,54,54,66,75,67,2,3,"CB,CDM",None,"INTERCEPT,POWER HEADER",Medium,Medium
Dave Gnaase,75,53,61,68,62,73,67,3,3,"CDM,CM",None,-,Medium,Medium
Marcos Gómez,73,55,59,64,61,64,67,2,3,CM,None,-,Medium,Medium
Paulo Bernardo,72,63,64,72,53,66,67,3,4,CM,None,TECHNICAL,Medium,Low
Wilmar González,74,63,64,68,47,68,67,3,3,"RM,RW",None,TECHNICAL,High,Medium
Ramiro González,34,37,45,51,66,76,67,2,3,CB,None,JOCKEY,Medium,Medium
Leonel González,73,43,56,63,65,77,67,2,3,CB,None,LONG BALL PASS,High,Medium
Óscar González,80,57,55,60,64,69,67,3,3,"LB,LM,LWB",None,"INTERCEPT,ANTICIPATE",High,Medium
Cristo González,74,67,63,70,36,63,67,3,5,"ST,CAM,CF",None,"INCISIVE PASS,TECHNICAL",Medium,Low
Charlie Goode,55,32,49,55,66,74,67,2,2,CB,None,"LONG THROW,LONG BALL PASS",Medium,Medium
Thijmen Goppel,87,57,61,66,50,67,67,3,2,"RM,RW",None,"WHIPPED PASS,QUICK STEP,RAPID",Medium,Low
Kenzo Goudmijn,80,56,66,72,56,56,67,3,3,"CM,CAM",None,-,Medium,Low
Jordan Graham,78,64,66,66,51,53,67,4,4,"RM,RW,LWB,RWB",None,TECHNICAL,Medium,Medium
José Luis Granados,56,42,59,56,67,74,67,2,2,"LB,LWB",None,-,High,Low
Jorge Grant,67,64,69,68,57,66,67,3,4,"CM,CAM",None,LONG BALL PASS,Medium,Medium
Simon Graves,62,47,57,58,66,74,67,2,3,CB,None,INTERCEPT,Medium,Medium
Lee Gregory,53,67,56,64,28,80,67,3,3,"ST,CF",None,-,High,Medium
Patrick Greil,68,61,68,67,51,65,67,3,3,"CM,CAM,CDM",None,-,Medium,Medium
Leo Greiml,52,30,49,47,66,72,67,2,2,CB,None,-,Low,Medium
Mathias Greve,69,61,67,68,53,71,67,3,3,CM,None,TECHNICAL,Medium,Medium
Lukas Grgic,67,44,59,61,64,82,67,2,3,"CDM,CM",None,-,Medium,Medium
Magnus Retsius Grødem,70,63,64,68,45,66,67,4,4,"CM,CAM",None,TECHNICAL,High,Medium
Pape Habib Gueye,76,66,54,64,21,76,67,3,3,"ST,CF",None,FLAIR,High,Medium
Makhtar Gueye,63,68,55,57,30,81,67,2,2,"ST,CF",None,-,Medium,Low
Germán Guiffrey,69,36,50,57,68,71,67,2,3,"CB,LB",None,-,Low,Medium
Daouda Guindo,84,37,55,71,60,68,67,2,3,"LB,LWB",None,"INTERCEPT,JOCKEY",High,Medium
Leon Guwara,79,39,57,64,62,72,67,3,2,"LB,LWB",None,SLIDE TACKLE,Medium,High
Anders Hagelskjær,59,48,61,59,67,73,67,2,2,CB,None,"LONG THROW,LONG BALL PASS",Medium,High
Elias K. Hagen,66,55,67,66,61,62,67,3,3,CM,None,-,Medium,Medium
Vanessa Haim,67,57,64,66,52,62,67,2,3,CM,None,-,Medium,Medium
Tibor Halilović,59,60,66,67,62,71,67,3,3,"CM,CAM",None,-,High,Medium
Grant Hall,55,39,47,45,67,70,67,2,3,CB,None,-,Medium,Medium
Pierre-Yves Hamel,48,68,57,64,28,63,67,2,3,"ST,CF",None,"POWER HEADER,CHIP SHOT",Medium,Medium
Vito Hammershøy-Mistrati,63,66,66,69,61,70,67,3,3,"CM,CAM",None,"TECHNICAL,FLAIR",High,High
Saïd Hamulić,79,65,59,67,28,67,67,3,3,"LM,ST,CF",None,TECHNICAL,High,Medium
Matěj Hanousek,79,44,60,64,61,73,67,2,2,"LB,LM,LWB",None,-,High,High
Wes Harding,71,40,54,60,66,77,67,2,4,"CB,RB,RWB",None,LONG THROW,Medium,Medium
Peter Haring,57,54,63,62,66,76,67,2,3,"CDM,CM",None,"POWER HEADER,LONG BALL PASS",Medium,Medium
Jyllissa Harris,56,39,50,56,69,63,67,2,2,CB,None,-,Medium,Medium
Kento Hashimoto,73,61,62,64,65,78,67,3,2,CM,None,"TRIVELA,TECHNICAL",Medium,Medium
Niklas Hauptmann,58,55,68,72,56,49,67,3,3,CM,None,"TECHNICAL,TIKI TAKA,SLIDE TACKLE",Medium,Medium
Jonny Hayes,79,60,66,69,61,66,67,3,4,"LB,LWB",None,"RELENTLESS,JOCKEY,SLIDE TACKLE,WHIPPED PASS,RAPID",High,High
Bryan Henning,68,55,60,69,64,70,67,3,3,"CM,CAM",None,"SLIDE TACKLE,RELENTLESS",High,High
Nelson Hernández,74,55,64,68,61,58,67,2,3,"RM,RB,LB,RWB",None,-,High,Low
Diego Armando Hernández,57,28,40,40,67,73,67,2,3,CB,None,"BRUISER,ANTICIPATE",Medium,Medium
Hector Hevel,68,68,63,72,51,42,67,3,3,"CM,CAM",None,-,High,Medium
George Hirst,72,66,50,62,31,73,67,3,3,"ST,CF",None,AERIAL,High,Medium
Ki-Jana Hoever,73,45,63,65,62,63,67,2,3,"RB,RWB",None,-,High,Medium
Jonathan Hogg,43,52,59,64,65,75,67,2,3,"CDM,CM",None,SLIDE TACKLE,Low,High
James Holland,53,61,65,67,65,70,67,2,4,"CDM,CM",None,LONG THROW,Medium,High
Tom Holmes,50,25,56,56,67,73,67,2,2,CB,None,LONG BALL PASS,Low,Medium
Shae Holmes,34,37,51,61,69,62,67,2,3,CB,None,-,Medium,Medium
Jordan Holsgrove,67,54,69,68,54,61,67,3,3,"CM,CAM,CDM",None,LONG BALL PASS,Medium,Medium
Santiago Homenchenko,72,61,64,62,62,74,67,3,3,"LM,CM,CDM",None,SLIDE TACKLE,Medium,High
Hong Jeong Un,54,38,57,53,66,76,67,2,3,CB,None,"INTERCEPT,BRUISER",Medium,High
Matthew Hoppe,73,66,56,65,24,57,67,2,3,"ST,CF",None,TRIVELA,Medium,Medium
Sam Hoskins,86,64,60,67,48,69,67,3,3,"LM,LW",None,"LONG THROW,QUICK STEP,RELENTLESS",High,High
Andi Hoti,63,27,46,50,68,70,67,2,3,CB,None,AERIAL,Low,Medium
Joseph Hungbo,82,62,61,68,33,58,67,3,3,"RM,RW",None,-,High,Medium
James Husband,65,49,58,64,67,70,67,2,3,"CB,LB,LWB",None,SLIDE TACKLE,Medium,Medium
Sam Hutchinson,49,51,61,58,66,72,67,2,3,"CB,CDM",None,"BRUISER,SLIDE TACKLE",Medium,High
Alex Ibacache,78,45,55,63,61,71,67,2,1,"LB,LM,LWB",None,-,Medium,Low
Pablo Ibáñez,57,58,63,63,59,55,67,2,3,"CM,CDM",None,-,Medium,High
Adam Idah,77,67,44,63,23,72,67,3,3,"ST,CF",None,-,High,Medium
Blendi Idrizi,71,59,63,72,50,59,67,3,3,"CM,CAM",None,"TECHNICAL,FLAIR",High,Medium
Jay Idzes,58,46,59,58,66,74,67,2,3,"CB,CDM",None,INTERCEPT,Medium,Medium
Gino Infantino,75,61,64,71,48,59,67,3,3,"RM,RW,LW,CM",None,-,Medium,Medium
Roberto Inglese,48,69,51,64,26,67,67,3,3,"ST,CF",None,"POWER HEADER,FINESSE SHOT",Medium,Medium
Rodrigo Insua,79,56,62,62,62,64,67,2,2,"LB,LM,LWB",None,-,High,Medium
Alexandru Ioniță,75,62,65,71,37,60,67,4,4,"CAM,LM,LW",None,"TECHNICAL,FLAIR",Medium,Medium
Dominic Iorfa,74,40,54,57,65,73,67,2,3,"CB,RB",None,"BRUISER,RAPID",High,Medium
Tim Iroegbunam,66,57,63,66,62,70,67,3,4,"CDM,CM",None,TECHNICAL,Medium,Low
Galego,75,65,63,70,48,53,67,4,3,"LM,LW",None,"RAPID,FINESSE SHOT",Medium,Medium
Marko Ivezić,65,39,56,57,68,71,67,2,3,"CB,CDM",None,-,Medium,Medium
Diego Moreira,86,58,56,75,31,66,67,3,3,"LM,LW",None,"RAPID,FLAIR",High,Low
Thore Jacobsen,69,55,64,67,63,70,67,2,3,CDM,None,RELENTLESS,High,High
Miguel Jacquet,60,34,44,49,67,72,67,2,3,CB,None,-,Low,Medium
Korina Janez,69,58,60,68,56,62,67,3,2,CAM,None,-,Medium,Medium
Laurent Jans,68,49,63,64,64,69,67,3,4,"RB,LB,RWB",None,LONG BALL PASS,Medium,Medium
Wolke Janssens,64,64,59,64,68,67,67,2,3,"CB,RB,RWB",None,-,High,Medium
Nicolas Janvier,65,58,66,67,62,66,67,3,3,CM,None,-,High,Medium
Renny Jaramillo,63,58,61,64,64,68,67,3,3,"CDM,CM",None,-,Medium,High
Fredrik Oldrup Jensen,50,51,60,61,64,71,67,2,3,"CB,CDM",None,LONG BALL PASS,Medium,Medium
Jeong Seung Won,68,57,62,67,59,71,67,3,3,"RM,RB,CM,RWB",None,"INTERCEPT,PRESS PROVEN,RELENTLESS",High,High
Ji Xiang,72,57,66,63,63,73,67,3,3,"RM,RB,RWB",None,"LONG BALL PASS,RELENTLESS",High,High
Jo Jin Woo,61,37,44,40,67,75,67,2,3,CB,None,"BRUISER,SLIDE TACKLE",Low,Medium
Emely Joester,69,59,59,67,50,61,67,2,2,CM,None,-,Medium,Medium
Ísak Bergmann Jóhannesson,74,60,67,68,61,69,67,3,3,"RW,CM",None,"TECHNICAL,RELENTLESS",High,High
Carl Johansson,53,27,44,49,67,73,67,2,2,CB,None,BLOCK,Medium,Medium
George Johnston,65,33,51,61,66,74,67,2,3,CB,None,"INTERCEPT,AERIAL,JOCKEY,LONG THROW,SLIDE TACKLE,POWER HEADER,LONG BALL PASS",High,Medium
Paul Joly,58,31,55,54,68,69,67,2,3,"RB,LB,RWB",None,-,Medium,Medium
Thomas Jones,73,60,65,70,33,56,67,3,3,"LW,RM,RW,CAM",None,-,High,Low
Cristóbal Jorquera,68,65,68,69,50,60,67,3,5,"CM,CAM",None,LONG BALL PASS,High,Medium
Daniel Eduardo Juárez,83,68,61,67,40,61,67,3,3,"RM,LM,CAM,LW",None,"RAPID,FINESSE SHOT",High,Medium
Gideon Jung,65,41,59,60,67,70,67,2,3,"CB,CDM",None,SLIDE TACKLE,High,Medium
Markus Kaasa,71,61,64,70,58,65,67,3,3,CM,None,-,Medium,Medium
Vladyslav Kabaev,74,53,63,67,29,41,67,3,3,"LM,LW",None,-,Medium,Medium
Eric Kahl,78,52,61,64,61,66,67,3,2,"LB,LWB",None,RAPID,Medium,Medium
Tobias Kainz,71,58,65,65,64,67,67,2,3,"RB,CDM,CM",None,LONG BALL PASS,Medium,High
Mattias Käit,72,62,62,66,64,73,67,3,3,"CM,CDM",None,RELENTLESS,Medium,High
Osman Kakay,72,26,48,64,65,58,67,2,3,"RB,CB,RWB",None,-,High,High
Ola Kamara,72,66,59,64,33,73,67,3,3,"ST,CF",None,FINESSE SHOT,Medium,Medium
Alhaji Kamara,79,63,52,67,32,78,67,3,3,"ST,CF",None,-,Medium,Medium
Dijon Kameri,74,66,63,70,38,63,67,3,3,"CM,CAM",None,TECHNICAL,Medium,Medium
Marco Kana,68,32,65,68,66,69,67,2,3,"CB,CDM,CM",None,-,Medium,Medium
Ahmetcan Kaplan,63,30,42,48,67,70,67,2,2,CB,None,-,Medium,Medium
Ali Karimi,59,60,64,67,64,70,67,2,3,"CM,CDM",None,"TRIVELA,ANTICIPATE",Medium,Medium
Karrikaburu,71,67,50,66,26,58,67,3,3,"ST,CF",None,-,Medium,Medium
Fabio Kaufmann,80,61,59,69,52,69,67,3,3,"RM,RW,ST,CM",None,"LONG THROW,RAPID",Medium,Medium
Naoufel Khacef,67,44,49,69,65,66,67,2,2,"LB,LWB",None,-,Medium,Medium
Facundo Kidd,74,48,55,57,66,65,67,2,2,"LB,LWB",None,SLIDE TACKLE,Medium,Medium
David Kiki,77,49,57,64,62,75,67,3,3,"RB,LB,LWB",None,LONG THROW,High,Medium
Kim Seung Dae,77,60,62,66,44,57,67,3,4,"RM,RW,ST,CAM",None,"FIRST TOUCH,CHIP SHOT,FINESSE SHOT",High,Medium
Kim Bo Sub,86,62,57,68,44,70,67,4,3,"RM,RW,RWB",None,"QUICK STEP,RAPID",Medium,Medium
Kim Joo Won,68,32,52,61,67,67,67,2,4,CB,None,-,Low,High
Andy King,52,64,66,65,68,60,67,3,3,"CM,CDM",None,LONG BALL PASS,Medium,Medium
Liam Kitching,65,32,45,47,65,78,67,2,2,CB,None,"LONG BALL PASS,AERIAL",High,Medium
Anders Klynge,68,55,64,68,61,70,67,2,2,CM,None,"INCISIVE PASS,TIKI TAKA",Medium,Medium
Anthony Knockaert,67,65,67,71,47,60,67,4,3,"RM,RW",None,"TECHNICAL,FLAIR",High,Medium
Vladyslav Kochergin,66,66,67,67,40,60,67,2,3,"CM,CF",None,-,High,Medium
Giorgi Kochorashvili,62,65,65,69,64,57,67,2,3,"CDM,CM",None,-,Medium,High
Sven Köhler,64,59,63,62,63,80,67,2,3,"CM,CDM",None,LONG BALL PASS,Medium,High
Aboubakary Koita,83,67,62,70,59,64,67,4,4,"LB,LM,LWB",None,"RAPID,FLAIR",High,Medium
Karim Konaté,80,67,52,68,39,59,67,3,3,"ST,CAM,CF",None,RAPID,Medium,High
Youssouf Koné,73,46,60,67,64,68,67,3,3,"CB,LB,LWB",None,"RAPID,FLAIR",High,Medium
Ismaël Koné,78,58,61,69,58,67,67,3,4,CM,None,"LONG BALL PASS,FLAIR",High,Medium
Bartosz Kopacz,63,37,52,51,65,74,67,2,3,"CB,RB",None,POWER HEADER,Medium,Medium
Eboue Kouassi,65,46,58,61,65,69,67,2,3,"CDM,CM",None,SLIDE TACKLE,Medium,High
Christos Kourfalidis,71,58,67,70,59,64,67,3,3,"CM,CAM",None,-,High,High
Sanja Kovačević,68,63,63,67,61,68,67,2,3,CM,None,-,Medium,Medium
Niklas Kreuzer,78,59,65,65,58,71,67,3,3,"RB,RW,RWB",None,"WHIPPED PASS,DEAD BALL",High,Medium
Ruben Kristiansen,73,47,58,62,63,68,67,2,3,"CB,LB,LWB",None,"JOCKEY,SLIDE TACKLE,RAPID,ANTICIPATE",Medium,Medium
Mirlind Kryeziu,36,36,48,50,65,79,67,2,2,CB,None,-,Low,Medium
Yuya Kubo,70,63,67,70,62,67,67,4,4,"LM,CM,CDM",None,TECHNICAL,Medium,Medium
Christian Kühlwetter,67,66,61,68,34,73,67,3,3,"RM,ST,CF",None,-,Medium,Medium
Stjepan Kukuruzović,55,66,73,63,54,65,67,3,5,"CM,CDM",None,"DEAD BALL,LONG BALL PASS,POWER SHOT",Medium,Medium
Hasan Kuruçay,61,39,40,42,65,75,67,2,3,CB,None,"JOCKEY,SLIDE TACKLE",Medium,High
Emma Kusch,62,64,58,69,38,62,67,2,2,"ST,CAM,CF",None,-,Medium,Medium
Nika Kvekveskiri,58,59,69,66,63,60,67,3,3,"CDM,CM",None,TIKI TAKA,Medium,Medium
Antonino La Gumina,75,67,60,67,36,69,67,3,3,"ST,CF",None,-,High,Medium
Andrea La Mantia,54,66,41,61,29,78,67,3,3,"ST,CF",None,"POWER HEADER,AERIAL",Medium,Low
Matías Laba,66,50,61,63,63,72,67,2,2,"CDM,CM",None,-,Low,Medium
Darryl Lachman,70,43,54,59,63,81,67,2,3,CB,None,POWER HEADER,High,Medium
Léo Lacroix,44,42,56,56,65,80,67,2,3,CB,None,POWER HEADER,Medium,Medium
Tomás Esteves,75,37,59,67,62,64,67,3,3,"RB,RWB",None,TECHNICAL,High,Medium
Mayckel Lahdo,83,60,59,72,27,54,67,3,3,"RM,RW,LW",None,-,Medium,Medium
Ali Lajami,75,47,55,58,65,75,67,2,4,"CB,LB,RB",None,"LONG THROW,BLOCK,ANTICIPATE",Medium,High
Łukasz Łakomy,67,55,61,64,61,69,67,2,3,"CDM,CM",None,RELENTLESS,High,High
Thomas Lam,65,52,59,60,66,75,67,2,4,"CB,CDM",None,"LONG BALL PASS,SLIDE TACKLE",Medium,Medium
Anthony Landázuri,77,43,53,56,65,76,67,2,2,"CB,RB",None,-,High,Medium
Julia Landenberger,59,54,56,66,66,67,67,2,1,CM,None,-,Medium,Medium
Hugo Larsson,76,56,60,67,60,75,67,2,3,"CM,CDM",None,"TIKI TAKA,INTERCEPT,LONG BALL PASS,PRESS PROVEN",High,High
Lasure,69,44,57,60,63,72,67,2,3,"LB,LM,LWB",None,SLIDE TACKLE,Medium,Medium
Lion Lauberbach,77,64,59,66,39,76,67,3,4,"LM,ST,CF",None,FINESSE SHOT,High,Medium
Frederik Lauenborg,65,54,65,67,66,74,67,2,3,CM,None,INTERCEPT,Medium,High
Shayne Lavery,77,68,52,67,24,62,67,2,3,"ST,CF",None,SLIDE TACKLE,High,Medium
Jordan Lawrence-Gabriel,82,34,52,64,63,65,67,2,2,"RB,RWB",None,"LONG THROW,SLIDE TACKLE",High,Medium
Richard Ledezma,68,59,66,72,47,47,67,3,2,"CM,CAM",None,"WHIPPED PASS,TECHNICAL,FINESSE SHOT",Medium,Medium
Lee Soon Min,65,48,63,65,63,75,67,2,3,"CM,CDM",None,"INTERCEPT,RELENTLESS,ANTICIPATE",Medium,High
Lee Gwang Hyeok,84,56,59,70,37,47,67,3,4,"RM,RW,LM",None,"INCISIVE PASS,QUICK STEP,RAPID",High,Medium
Lee Tae Suk,72,40,59,67,60,58,67,3,3,"LB,LWB",None,"WHIPPED PASS,TIKI TAKA",Medium,Medium
Tom Lees,54,36,55,61,66,74,67,2,2,CB,None,-,Low,Medium
Nicolás Leguizamón,67,67,60,66,38,69,67,3,2,"ST,CF",None,-,Medium,Low
Aníbal Leguizamón,55,33,53,51,66,76,67,2,3,CB,None,"AERIAL,BLOCK",Medium,Medium
Mario Leitgeb,34,55,60,60,68,70,67,2,3,"CDM,CM",None,"POWER HEADER,PRESS PROVEN",Medium,Medium
Li Shuai,81,41,58,65,61,72,67,3,4,"LB,LM,LWB",None,BLOCK,High,Medium
Cristina Librán,66,66,64,70,55,55,67,3,3,CM,None,-,Medium,Medium
Nick Lima,79,61,60,67,61,73,67,3,4,"RB,LB,RWB",None,-,High,High
Gift Links,85,55,64,71,56,65,67,3,3,"RW,LB,LWB",None,"TRICKSTER,TECHNICAL,FLAIR",High,Medium
Jesper Löfgren,47,29,42,51,66,76,67,2,2,CB,None,-,Medium,Medium
Felix Lohkemper,75,65,57,68,31,50,67,3,3,"RW,ST,LW,CF",None,-,Medium,Medium
Jason Lokilo,85,63,60,71,28,56,67,3,3,"RM,RW,LW,CF",None,RAPID,Medium,Medium
Danijel Lončar,64,35,55,47,67,74,67,2,2,"CB,CDM",None,LONG BALL PASS,Medium,Medium
Noah Loosli,70,44,47,55,66,76,67,2,3,CB,None,"INTERCEPT,JOCKEY",Low,Medium
Bárbara López,72,68,61,71,24,70,67,4,3,"ST,CF",None,-,Medium,Medium
Marc Lorenz,74,56,69,65,48,69,67,3,2,"LM,LW",None,"LONG THROW,WHIPPED PASS,RELENTLESS",Medium,Medium
Anderson Lucoqui,77,45,58,69,62,68,67,2,4,"LB,LWB",None,-,Medium,Medium
Karlo Lulić,63,64,67,66,55,69,67,3,5,CM,None,-,Medium,Medium
Valdemar Lund,56,42,58,57,66,71,67,2,3,CB,None,"LONG BALL PASS,BLOCK",Medium,Medium
Ramon Pascal Lundqvist,66,67,68,69,57,63,67,3,3,"CM,CAM,ST",None,"DEAD BALL,INCISIVE PASS,POWER SHOT",Medium,Medium
Larrys Mabiala,41,44,51,50,65,80,67,2,3,CB,None,"POWER HEADER,SLIDE TACKLE",Low,Medium
Angus MacDonald,37,26,47,50,69,61,67,2,3,CB,None,"LONG BALL PASS,AERIAL",Medium,High
Zinédine Machach,72,62,69,70,43,72,67,3,3,"CM,CAM,ST",None,FLAIR,Medium,Medium
Leandro Maciel,67,53,63,66,61,78,67,3,2,"CM,CDM",None,-,Medium,Medium
Abdullah Madu,41,25,45,40,67,75,67,2,3,CB,None,SLIDE TACKLE,Low,Medium
Cassius Mailula,77,60,62,71,31,43,67,3,3,"CF,CAM,ST",None,-,Medium,Medium
Jordy Makengo,80,27,58,58,66,71,67,2,3,"CB,LB,LWB",None,"LONG BALL PASS,SLIDE TACKLE,RAPID",Medium,Medium
Charalambos Makridis,86,68,58,68,24,56,67,3,4,"CAM,LM,LW",None,TECHNICAL,High,Medium
Nikola Maksimović,47,28,43,51,67,72,67,2,3,CB,None,SLIDE TACKLE,Medium,Medium
Julián Malatini,71,31,58,67,61,64,67,2,2,"RB,CB,RWB",None,-,High,Medium
Felix Mambimbi,87,63,54,71,24,56,67,3,4,"RM,LM,ST,LW",None,RAPID,High,Medium
Harrinson Mancilla,57,34,61,54,62,79,67,2,3,"CDM,CM",None,-,Medium,Medium
Alasana Manneh,68,61,67,70,60,59,67,3,3,"CM,CDM",None,"PRESS PROVEN,TRIVELA,POWER SHOT",Medium,Medium
Filip Marchwiński,67,63,63,68,41,61,67,3,4,"LM,CAM",None,"TECHNICAL,FINESSE SHOT",Medium,Low
Ivan Marconi,63,44,46,51,66,68,67,2,3,CB,None,"INTERCEPT,AERIAL",Low,High
Antonio Marin,78,60,65,72,30,66,67,4,4,"LW,CAM",None,"TECHNICAL,FLAIR",Medium,Medium
Marius Marin,73,57,67,66,64,70,67,2,3,"CM,CDM",None,PRESS PROVEN,Medium,Medium
Jovan Marković,75,65,52,70,31,71,67,3,3,"ST,CF",None,TECHNICAL,High,Low
Gonzalo Maroni,69,55,63,72,42,54,67,3,2,"LW,CAM",None,"TECHNICAL,FINESSE SHOT",Medium,Low
Alejandro Marqués,67,67,47,67,36,60,67,2,3,"ST,CF",None,POWER HEADER,Medium,Low
Artur Jorge,53,37,45,50,65,74,67,2,3,CB,None,-,Medium,Medium
José Marrufo,64,24,56,55,67,73,67,2,2,"CB,LB",None,-,Low,Medium
Teto,67,60,65,67,57,60,67,3,3,"RM,RW,LM,CAM",None,-,Medium,Medium
Ramón Martínez,61,56,57,61,66,75,67,3,3,"CDM,CM",None,-,Medium,High
Homer Martínez,77,38,53,51,69,71,67,2,3,"CB,CDM",None,-,Medium,Medium
José Marsà,74,30,50,60,66,70,67,2,3,"CB,CDM",None,INTERCEPT,Medium,Medium
Dominik Martinović,80,67,53,69,21,65,67,3,3,"ST,CF",None,"CHIP SHOT,FLAIR,RAPID",High,High
Matheus Martins,69,70,64,69,28,52,67,3,3,"RM,RW",None,-,High,Medium
Benny Sousa,81,62,60,68,33,58,67,3,3,"RM,RW",None,-,High,Low
Jan Hendrik Marx,78,46,55,64,56,55,67,2,4,"RB,RWB",None,"QUICK STEP,SLIDE TACKLE,RAPID",High,Low
Ephron Mason-Clark,82,63,58,71,29,71,67,4,4,"LM,LW",None,"TECHNICAL,FLAIR",High,Medium
Julien Masson,60,43,58,61,63,77,67,2,2,"CDM,CM",None,-,Medium,Medium
Mateusz Matras,44,49,55,47,64,80,67,2,3,CB,None,"SLIDE TACKLE,BLOCK",Medium,Medium
Yusuke Matsuo,82,66,61,73,54,63,67,2,4,"RM,LM,ST,CF",None,RAPID,High,Medium
Magnus Mattsson,75,63,61,72,29,59,67,3,4,"LW,CAM",None,"TECHNICAL,FLAIR",Medium,Medium
Danny Mayor,65,61,65,70,49,66,67,4,3,"LM,LW,CM",None,TECHNICAL,High,Low
Loïc Mbe Soh,60,29,49,48,66,71,67,2,2,CB,None,-,Low,High
Nolan Mbemba,66,60,65,68,63,73,67,3,3,"RB,CM,CDM",None,-,Medium,Medium
Moustapha Mbow,66,36,42,55,67,75,67,2,2,CB,None,-,Medium,Medium
Ryan McGowan,55,48,57,57,65,80,67,2,3,"CB,CDM",None,"POWER HEADER,LONG THROW",Medium,High
Zac McGraw,54,41,57,51,66,75,67,2,2,CB,None,LONG BALL PASS,High,High
Tom McIntyre,48,37,58,63,66,69,67,2,2,"CB,LB,CDM",None,-,Medium,High
Agus Medina,69,63,65,64,65,72,67,2,2,"CDM,CAM,CM",None,INCISIVE PASS,Medium,Medium
Anis Mehmeti,72,61,60,72,54,65,67,3,3,"LM,LW",None,"TECHNICAL,FLAIR",High,Low
